G:0.05 C:5 A:0.899461 FPOS:0.0506739 FNEG:0.0498652
G:0.05 C:6 A:0.901887 FPOS:0.0498652 FNEG:0.048248
G:0.05 C:7 A:0.901078 FPOS:0.0504043 FNEG:0.0485175
G:0.05 C:8 A:0.898922 FPOS:0.0514825 FNEG:0.0495957
G:0.05 C:9 A:0.9 FPOS:0.0490566 FNEG:0.0509434
G:0.05 C:10 A:0.9 FPOS:0.0490566 FNEG:0.0509434
G:0.05 C:11 A:0.9 FPOS:0.0490566 FNEG:0.0509434
G:0.05 C:12 A:0.9 FPOS:0.0490566 FNEG:0.0509434
G:0.05 C:13 A:0.9 FPOS:0.0490566 FNEG:0.0509434
G:0.05 C:14 A:0.9 FPOS:0.0490566 FNEG:0.0509434
G:0.05 C:15 A:0.9 FPOS:0.0490566 FNEG:0.0509434
G:0.06 C:5 A:0.901617 FPOS:0.0504043 FNEG:0.0479784
G:0.06 C:6 A:0.897844 FPOS:0.0533693 FNEG:0.0487871
G:0.06 C:7 A:0.897305 FPOS:0.0533693 FNEG:0.0493262
G:0.06 C:8 A:0.898383 FPOS:0.0528302 FNEG:0.0487871
G:0.06 C:9 A:0.898383 FPOS:0.0528302 FNEG:0.0487871
G:0.06 C:10 A:0.898383 FPOS:0.0528302 FNEG:0.0487871
G:0.06 C:11 A:0.898383 FPOS:0.0528302 FNEG:0.0487871
G:0.06 C:12 A:0.898383 FPOS:0.0528302 FNEG:0.0487871
G:0.06 C:13 A:0.898383 FPOS:0.0528302 FNEG:0.0487871
G:0.06 C:14 A:0.898383 FPOS:0.0528302 FNEG:0.0487871
G:0.06 C:15 A:0.898383 FPOS:0.0528302 FNEG:0.0487871
G:0.07 C:5 A:0.90027 FPOS:0.0509434 FNEG:0.0487871
G:0.07 C:6 A:0.901887 FPOS:0.0501348 FNEG:0.0479784
G:0.07 C:7 A:0.902695 FPOS:0.0495957 FNEG:0.0477089
G:0.07 C:8 A:0.902695 FPOS:0.0495957 FNEG:0.0477089
G:0.07 C:9 A:0.902695 FPOS:0.0495957 FNEG:0.0477089
G:0.07 C:10 A:0.902695 FPOS:0.0495957 FNEG:0.0477089
G:0.07 C:11 A:0.902695 FPOS:0.0495957 FNEG:0.0477089
G:0.07 C:12 A:0.902695 FPOS:0.0495957 FNEG:0.0477089
G:0.07 C:13 A:0.902695 FPOS:0.0495957 FNEG:0.0477089
G:0.07 C:14 A:0.902695 FPOS:0.0495957 FNEG:0.0477089
G:0.07 C:15 A:0.902695 FPOS:0.0495957 FNEG:0.0477089
G:0.08 C:5 A:0.903234 FPOS:0.0493261 FNEG:0.0474393
G:0.08 C:6 A:0.903234 FPOS:0.0493261 FNEG:0.0474393
G:0.08 C:7 A:0.903234 FPOS:0.0493261 FNEG:0.0474393
G:0.08 C:8 A:0.903234 FPOS:0.0493261 FNEG:0.0474393
G:0.08 C:9 A:0.903234 FPOS:0.0493261 FNEG:0.0474393
G:0.08 C:10 A:0.903234 FPOS:0.0493261 FNEG:0.0474393
G:0.08 C:11 A:0.903234 FPOS:0.0493261 FNEG:0.0474393
G:0.08 C:12 A:0.903234 FPOS:0.0493261 FNEG:0.0474393
G:0.08 C:13 A:0.903234 FPOS:0.0493261 FNEG:0.0474393
G:0.08 C:14 A:0.903234 FPOS:0.0493261 FNEG:0.0474393
G:0.08 C:15 A:0.903234 FPOS:0.0493261 FNEG:0.0474393
G:0.09 C:5 A:0.902695 FPOS:0.0493261 FNEG:0.0479784
G:0.09 C:6 A:0.902695 FPOS:0.0493261 FNEG:0.0479784
G:0.09 C:7 A:0.902695 FPOS:0.0493261 FNEG:0.0479784
G:0.09 C:8 A:0.902695 FPOS:0.0493261 FNEG:0.0479784
G:0.09 C:9 A:0.902695 FPOS:0.0493261 FNEG:0.0479784
G:0.09 C:10 A:0.902695 FPOS:0.0493261 FNEG:0.0479784
G:0.09 C:11 A:0.902695 FPOS:0.0493261 FNEG:0.0479784
G:0.09 C:12 A:0.902695 FPOS:0.0493261 FNEG:0.0479784
G:0.09 C:13 A:0.902695 FPOS:0.0493261 FNEG:0.0479784
G:0.09 C:14 A:0.902695 FPOS:0.0493261 FNEG:0.0479784
G:0.09 C:15 A:0.902695 FPOS:0.0493261 FNEG:0.0479784
G:0.1 C:5 A:0.902156 FPOS:0.0504043 FNEG:0.0474394
G:0.1 C:6 A:0.902156 FPOS:0.0504043 FNEG:0.0474394
G:0.1 C:7 A:0.902156 FPOS:0.0504043 FNEG:0.0474394
G:0.1 C:8 A:0.902156 FPOS:0.0504043 FNEG:0.0474394
G:0.1 C:9 A:0.902156 FPOS:0.0504043 FNEG:0.0474394
G:0.1 C:10 A:0.902156 FPOS:0.0504043 FNEG:0.0474394
G:0.1 C:11 A:0.902156 FPOS:0.0504043 FNEG:0.0474394
G:0.1 C:12 A:0.902156 FPOS:0.0504043 FNEG:0.0474394
G:0.1 C:13 A:0.902156 FPOS:0.0504043 FNEG:0.0474394
G:0.1 C:14 A:0.902156 FPOS:0.0504043 FNEG:0.0474394
G:0.1 C:15 A:0.902156 FPOS:0.0504043 FNEG:0.0474394
G:0.11 C:5 A:0.901617 FPOS:0.0533693 FNEG:0.0450135
G:0.11 C:6 A:0.901617 FPOS:0.0533693 FNEG:0.0450135
G:0.11 C:7 A:0.901617 FPOS:0.0533693 FNEG:0.0450135
G:0.11 C:8 A:0.901617 FPOS:0.0533693 FNEG:0.0450135
G:0.11 C:9 A:0.901617 FPOS:0.0533693 FNEG:0.0450135
G:0.11 C:10 A:0.901617 FPOS:0.0533693 FNEG:0.0450135
G:0.11 C:11 A:0.901617 FPOS:0.0533693 FNEG:0.0450135
G:0.11 C:12 A:0.901617 FPOS:0.0533693 FNEG:0.0450135
G:0.11 C:13 A:0.901617 FPOS:0.0533693 FNEG:0.0450135
G:0.11 C:14 A:0.901617 FPOS:0.0533693 FNEG:0.0450135
G:0.11 C:15 A:0.901617 FPOS:0.0533693 FNEG:0.0450135
G:0.12 C:5 A:0.898113 FPOS:0.054717 FNEG:0.0471698
G:0.12 C:6 A:0.898113 FPOS:0.054717 FNEG:0.0471698
G:0.12 C:7 A:0.898113 FPOS:0.054717 FNEG:0.0471698
G:0.12 C:8 A:0.898113 FPOS:0.054717 FNEG:0.0471698
G:0.12 C:9 A:0.898113 FPOS:0.054717 FNEG:0.0471698
G:0.12 C:10 A:0.898113 FPOS:0.054717 FNEG:0.0471698
G:0.12 C:11 A:0.898113 FPOS:0.054717 FNEG:0.0471698
G:0.12 C:12 A:0.898113 FPOS:0.054717 FNEG:0.0471698
G:0.12 C:13 A:0.898113 FPOS:0.054717 FNEG:0.0471698
G:0.12 C:14 A:0.898113 FPOS:0.054717 FNEG:0.0471698
G:0.12 C:15 A:0.898113 FPOS:0.054717 FNEG:0.0471698
G:0.13 C:5 A:0.897035 FPOS:0.0563342 FNEG:0.0466307
G:0.13 C:6 A:0.897035 FPOS:0.0563342 FNEG:0.0466307
G:0.13 C:7 A:0.897035 FPOS:0.0563342 FNEG:0.0466307
G:0.13 C:8 A:0.897035 FPOS:0.0563342 FNEG:0.0466307
G:0.13 C:9 A:0.897035 FPOS:0.0563342 FNEG:0.0466307
G:0.13 C:10 A:0.897035 FPOS:0.0563342 FNEG:0.0466307
G:0.13 C:11 A:0.897035 FPOS:0.0563342 FNEG:0.0466307
G:0.13 C:12 A:0.897035 FPOS:0.0563342 FNEG:0.0466307
G:0.13 C:13 A:0.897035 FPOS:0.0563342 FNEG:0.0466307
G:0.13 C:14 A:0.897035 FPOS:0.0563342 FNEG:0.0466307
G:0.13 C:15 A:0.897035 FPOS:0.0563342 FNEG:0.0466307
G:0.14 C:5 A:0.897035 FPOS:0.0560647 FNEG:0.0469003
G:0.14 C:6 A:0.897035 FPOS:0.0560647 FNEG:0.0469003
G:0.14 C:7 A:0.897035 FPOS:0.0560647 FNEG:0.0469003
G:0.14 C:8 A:0.897035 FPOS:0.0560647 FNEG:0.0469003
G:0.14 C:9 A:0.897035 FPOS:0.0560647 FNEG:0.0469003
G:0.14 C:10 A:0.897035 FPOS:0.0560647 FNEG:0.0469003
G:0.14 C:11 A:0.897035 FPOS:0.0560647 FNEG:0.0469003
G:0.14 C:12 A:0.897035 FPOS:0.0560647 FNEG:0.0469003
G:0.14 C:13 A:0.897035 FPOS:0.0560647 FNEG:0.0469003
G:0.14 C:14 A:0.897035 FPOS:0.0560647 FNEG:0.0469003
G:0.14 C:15 A:0.897035 FPOS:0.0560647 FNEG:0.0469003
G:0.15 C:5 A:0.896766 FPOS:0.0568733 FNEG:0.0463612
G:0.15 C:6 A:0.896766 FPOS:0.0568733 FNEG:0.0463612
G:0.15 C:7 A:0.896766 FPOS:0.0568733 FNEG:0.0463612
G:0.15 C:8 A:0.896766 FPOS:0.0568733 FNEG:0.0463612
G:0.15 C:9 A:0.896766 FPOS:0.0568733 FNEG:0.0463612
G:0.15 C:10 A:0.896766 FPOS:0.0568733 FNEG:0.0463612
G:0.15 C:11 A:0.896766 FPOS:0.0568733 FNEG:0.0463612
G:0.15 C:12 A:0.896766 FPOS:0.0568733 FNEG:0.0463612
G:0.15 C:13 A:0.896766 FPOS:0.0568733 FNEG:0.0463612
G:0.15 C:14 A:0.896766 FPOS:0.0568733 FNEG:0.0463612
G:0.15 C:15 A:0.896766 FPOS:0.0568733 FNEG:0.0463612
G:0.16 C:5 A:0.89434 FPOS:0.0568733 FNEG:0.0487871
G:0.16 C:6 A:0.89434 FPOS:0.0568733 FNEG:0.0487871
G:0.16 C:7 A:0.89434 FPOS:0.0568733 FNEG:0.0487871
G:0.16 C:8 A:0.89434 FPOS:0.0568733 FNEG:0.0487871
G:0.16 C:9 A:0.89434 FPOS:0.0568733 FNEG:0.0487871
G:0.16 C:10 A:0.89434 FPOS:0.0568733 FNEG:0.0487871
G:0.16 C:11 A:0.89434 FPOS:0.0568733 FNEG:0.0487871
G:0.16 C:12 A:0.89434 FPOS:0.0568733 FNEG:0.0487871
G:0.16 C:13 A:0.89434 FPOS:0.0568733 FNEG:0.0487871
G:0.16 C:14 A:0.89434 FPOS:0.0568733 FNEG:0.0487871
G:0.16 C:15 A:0.89434 FPOS:0.0568733 FNEG:0.0487871
G:0.17 C:5 A:0.895418 FPOS:0.0563342 FNEG:0.048248
G:0.17 C:6 A:0.895418 FPOS:0.0563342 FNEG:0.048248
G:0.17 C:7 A:0.895418 FPOS:0.0563342 FNEG:0.048248
G:0.17 C:8 A:0.895418 FPOS:0.0563342 FNEG:0.048248
G:0.17 C:9 A:0.895418 FPOS:0.0563342 FNEG:0.048248
G:0.17 C:10 A:0.895418 FPOS:0.0563342 FNEG:0.048248
G:0.17 C:11 A:0.895418 FPOS:0.0563342 FNEG:0.048248
G:0.17 C:12 A:0.895418 FPOS:0.0563342 FNEG:0.048248
G:0.17 C:13 A:0.895418 FPOS:0.0563342 FNEG:0.048248
G:0.17 C:14 A:0.895418 FPOS:0.0563342 FNEG:0.048248
G:0.17 C:15 A:0.895418 FPOS:0.0563342 FNEG:0.048248
G:0.18 C:5 A:0.893531 FPOS:0.0579515 FNEG:0.0485175
G:0.18 C:6 A:0.893531 FPOS:0.0579515 FNEG:0.0485175
G:0.18 C:7 A:0.893531 FPOS:0.0579515 FNEG:0.0485175
G:0.18 C:8 A:0.893531 FPOS:0.0579515 FNEG:0.0485175
G:0.18 C:9 A:0.893531 FPOS:0.0579515 FNEG:0.0485175
G:0.18 C:10 A:0.893531 FPOS:0.0579515 FNEG:0.0485175
G:0.18 C:11 A:0.893531 FPOS:0.0579515 FNEG:0.0485175
G:0.18 C:12 A:0.893531 FPOS:0.0579515 FNEG:0.0485175
G:0.18 C:13 A:0.893531 FPOS:0.0579515 FNEG:0.0485175
G:0.18 C:14 A:0.893531 FPOS:0.0579515 FNEG:0.0485175
G:0.18 C:15 A:0.893531 FPOS:0.0579515 FNEG:0.0485175
G:0.19 C:5 A:0.894879 FPOS:0.0568733 FNEG:0.048248
G:0.19 C:6 A:0.894879 FPOS:0.0568733 FNEG:0.048248
G:0.19 C:7 A:0.894879 FPOS:0.0568733 FNEG:0.048248
G:0.19 C:8 A:0.894879 FPOS:0.0568733 FNEG:0.048248
G:0.19 C:9 A:0.894879 FPOS:0.0568733 FNEG:0.048248
G:0.19 C:10 A:0.894879 FPOS:0.0568733 FNEG:0.048248
G:0.19 C:11 A:0.894879 FPOS:0.0568733 FNEG:0.048248
G:0.19 C:12 A:0.894879 FPOS:0.0568733 FNEG:0.048248
G:0.19 C:13 A:0.894879 FPOS:0.0568733 FNEG:0.048248
G:0.19 C:14 A:0.894879 FPOS:0.0568733 FNEG:0.048248
G:0.19 C:15 A:0.894879 FPOS:0.0568733 FNEG:0.048248
